round,treatment,round_length,practice,free_trade
1,cda,120,TRUE,FALSE
2,cda,120,TRUE,FALSE
3,cda,120,FALSE,FALSE
4,cda,120,FALSE,FALSE
5,cda,120,FALSE,FALSE
6,cda,120,FALSE,FALSE
7,cda,120,FALSE,FALSE
8,cda,120,FALSE,FALSE
9,cda,120,FALSE,FALSE
10,cda,120,FALSE,FALSE
11,cda,120,FALSE,FALSE
12,cda,120,FALSE,FALSE
13,cda,120,FALSE,FALSE
14,cda,120,FALSE,FALSE
15,cda,120,FALSE,FALSE
16,cda,120,FALSE,FALSE
17,cda,120,FALSE,FALSE
18,cda,120,FALSE,FALSE
19,cda,120,FALSE,FALSE
20,cda,120,FALSE,FALSE
21,cda,120,FALSE,FALSE
22,cda,120,FALSE,FALSE
